id_business,businessYelp_id
0,Pns2l4eNsfO8kk83dixA6A
3,MTSW4McQd7CbVtyjqoe9mw
4,mWMc6_wTdE0EUBKIGXDVfA
7,qkRM_2X51Yqxk3btlwAQIg
10,UJsufbvfyfONHeWdvAHKjA
11,eEOYSgkmpB90uNA7lDOMRA
13,jaxMSoInw8Poo3XeMJt8lQ
14,0bPLkL0QhhPO5kt1_EXmNQ
15,MUTTqe8uqyMdBl186RmNeA
19,ROeacJQwBeh05Rqg7F6TCg
23,9OG5YkX1g2GReZM0AskizA
25,PSo_C1Sfa13JHjzVNW6ziQ
26,noByYNtDLQAra9ccqxdfDw
28,QdN72BWoyFypdGJhhI5r7g
31,Mjboz24M9NlBeiOJKLEd_Q
32,8sshLb4UU7emeUDvtJWnpA
33,kV_Q1oqis8Qli8dUoGpTyQ
35,aPNXGTDkf-4bjhyMBQxqpQ
36,2xVsWBNFwZOxIOdd9Mwnww
39,fSCNwMtNNQY9QT69Cj9fiA
42,lwItZ1Ck3KtpCgG4CPFmpQ
43,Kq51_lGAgAigqmENITTr-A
44,mglME3E7esPSpIF5bias8w
49,ABxoFuzZy5mqQ8C5FJJajQ
50,Hwt3_mOEmU-t--ywcemnMg
54,0qNpTGTcqPwOLi2hADx4Xw
55,xM6LoUcnpDpMBzXs_7dXAg
57,DQ7PyYlp2bX96WZa7TcaWQ
58,uI9XODGY_2_ieTE6xJ0myw
59,JgpnXv_0XhV3SfbfB50nxw
63,mjWvAkNqoA6Y5P03sDSzfA
64,qfWJmJ0g96eM_fWma3ja0g
69,KWA2qtdwVEkMpd5soSKaGA
70,gbN4RuUiiBxQ2GBFQ2p3Cw
73,8rb-3VYXE37IZix4yOdskw
74,9Rww8yE6Dm4dSMEq09nwXg
75,aCDY7vXYMs54EbYuQScsnQ
76,-4dYswJy7SPcbcERvitmIg
79,pJfh3Ct8iL58NZa8ta-a5w
82,ppFCk9aQkM338Rgwpl2F5A
83,NZ_bFJma7brQUfln5h1UAg
84,eMjnw_7wp-CscyNh6Lu0ZA
85,IDtLPgUrqorrpqSLdfMhZQ
88,LhpPSrulqVeTyJeK2xydvQ
91,nUqrF-h9S7myCcvNDecOvw
93,RK6-cJ9hj53RzOlCBmpT-g
94,ZM46RDLXaFNo_z6t-j_L4w
97,knQ4vIgx-r85kjlWVVjcpQ
100,8KMIT0NXu30Jz5Ojo5uxaw
106,vje0KIiE7vtpx7JzmBx5LQ
107,2n9HHBxG7yAyAUwXXa49aw
108,kK2i5Xyd9SOpF5pCFilbcg
109,I6DCYks9lqZeoZiVzW7PmA
111,H0NEOp4e3Zu598u6kO3y0g
114,4dVrWc4Nhuw9apfk9BWEcA
115,xfmkEGiIERBaBMLhw-dTCg
116,NTf_U8kYu9PAE2cZGJqtJg
117,kk_oEw1j3xQ-cJaAII8A0Q
120,bYjnX_J1bHZob10DoSFkqQ
123,iPSPcprSnkLOuL1Ns8UZZA
128,P8brGDYVWjeW9GrKixH0yQ
129,Cdytv_YhJO0W0Ab8t2xLtg
130,3BJxm-HnvzdwD1zjmSbmyQ
135,qdYfHRsZdcz4Bun4f9Ijaw
136,Y6t4pnKm5LF8y5ChHA27ow
140,zFvqulgAYOpSG2t1v8AZ-w
141,SZU9c8V2GuREDN5KgyHFJw
142,GWGXTKR0Fhdvzf_isDqJug
143,-aeZuatjCDMV1X4gCTz9Ug
145,Lx8ZYUJ_-3Aa8N821mN1WQ
146,M_THnNDHs29aylcK-JqS1A
147,uCQqtYW_xc1EJRm7NyakdA
149,h-y5azB-VlQAT3m7Ff2g2Q
151,WYYdQDjx-DsCanlP0DpImQ
153,aNtKyc2rr-uK5cqzY9TVQQ
157,oCFcoyGx2VRZ8MHXEsV8tQ
158,FC6ef4rMMZKNov_-A9M6iQ
160,EYA514FX4H8MwvFjv2ORQA
162,DTUfAthScapCGnOnnLUhPA
163,DcUDIlxFsvqPvFh8_lb4Sw
167,Ms5xG8i4p80KSMcF3tt4ug
168,yswijv6wP2fKbMqAiEZ0vw
170,QZU7TcrztBb3tXaPbVCkXg
172,wMAxTyExktVtfyqKAfApbA
174,vvE3HVfxlx9UYctKPr0dbw
176,5BYQP7i7ckUlgSzX4Yhnmw
178,DfGNZQsCe9k2BxazCf0p6g
179,07JLsUInZr5OSiYH2XVi4g
180,hPAmGKnDqummngSTOJN_8g
182,1GnJDrpp-jyDRCptavD9RQ
183,jkY8aotwcAlSHCgoZrF49w
185,P10BsKUeoeCeVoK4BS2u0w
186,7Du9oW73YcYFmXdtU5aiSg
188,QjV4v7q_pt7tt3K1US7IHg
190,FTFtoylMzkrzqNVSl-bkKw
191,59jkCUm4yHciKL1KW_1HJA
192,AzwiKZjVqHOxLaYtPAx8lA
194,tVdJ7CgBGAQ_nLomYXbB-Q
197,znL4YrNbA2uwOQ3CchkmEA
198,CtMEJxpVMlNzFpB4PtFjfA
199,O1oZpbZNDMH_gz8DhsZCdA
200,vPcfJ3rm3NpdqVDod2WxLA
202,pmuuoDqNZp7518AUd-YmPA
204,tyJwgMRwo21wLUsga_RkQw
205,2dlQX5sP9X6Dlm1MmNOlSw
210,UoKkgWmE9-c3wbWwO4VAVQ
213,ZU6NodDOWaabGkeNpOWdXw
214,LVYAXWQB3t7tdwWteyjfhw
215,mq5Z9X7yxgyApILQ11niNw
217,ONUZertKOOImiyQG66Z7Tg
219,25Uww0C0wvF9CZ_3B6vWtA
220,rCoWa-C7Os51GjFkCnFlVw
222,8c0r7olQSYGcws0bTd3ikw
223,QU-X2Pijwd4SitfYXoZWMQ
224,Ucl9Vo5lwrUmYbV8Dv8X5g
226,WdrpkH-q7FQY5nclmPfoDQ
227,xF9r1XbMvEOsJeHlmFhIvw
230,do6EpBc7ZUoaqdzuUuGFXA
235,bTve2mwLk5Zc01vRKqc2KQ
237,TF6QZYUR5atqBEFnHP5bOw
239,D9Xez9uOSM4DgSjSTywq7w
