Descripcion,IdAtributos
ByAppointmentOnly,0
RestaurantsDelivery,1
OutdoorSeating,2
BusinessAcceptsCreditCards,3
BusinessParking,4
BikeParking,5
RestaurantsPriceRange2,6
RestaurantsTakeOut,7
WiFi,8
Alcohol,9
Caters,10
WheelchairAccessible,11
GoodForKids,12
,13
RestaurantsReservations,14
Ambience,15
GoodForMeal,16
RestaurantsGoodForGroups,17
RestaurantsAttire,18
NoiseLevel,19
BusinessAcceptsBitcoin,20
RestaurantsTableService,21
HasTV,22
DogsAllowed,23
HappyHour,24
Smoking,25
Music,26
GoodForDancing,27
AcceptsInsurance,28
CoatCheck,29
BYOB,30
BestNights,31
DriveThru,32
Corkage,33
BYOBCorkage,34
HairSpecializesIn,35
Open24Hours,36
AgesAllowed,37
RestaurantsCounterService,38
DietaryRestrictions,39
